0              0
1             17
2             14
3             33
4             25
5              9
6              7
7              8
8             23
9             10
10             27
11              5
12             24
13              4
14             26
15             28
16             18
17             32
18             16
19             12
20              2
21             15
22             13
23             20
24              1
25             21
26             31
27              3
28             29
29              6
30             22
31             19
32             11
33             30
